"ActivityLabel","ActivityName","id","measure","value","axis","stat"
"1",6,"LAYING",2136,"tBodyAcc",-0.99227912,"z","std"
"2",3,"WALKING_DOWNSTAIRS",339,"tGravityAcc",-0.967793,"x","std"
"3",6,"LAYING",5942,"fBodyAcc",-0.95137762,"x","mean"
"4",3,"WALKING_DOWNSTAIRS",8216,"tBodyGyroJerk",-0.44250304,"y","std"
"5",3,"WALKING_DOWNSTAIRS",5434,"fBodyAcc",-0.58384648,"z","mean"
"6",5,"STANDING",2557,"fBodyGyro",-0.3801825,"y","mean"
"7",6,"LAYING",915,"tBodyAcc",0.2794083,"x","mean"
"8",6,"LAYING",3886,"fBodyAccJerk",-0.16750583,"y","mean"
"9",6,"LAYING",5566,"fBodyAccMag",0.72309644,"z","mean"
"10",1,"WALKING",2153,"fBodyBodyGyroJerkMag",-0.73704488,"z","mean"
"11",3,"WALKING_DOWNSTAIRS",476,"tBodyAccMag",-0.0822611,"z","mean"
"12",2,"WALKING_UPSTAIRS",1738,"angle",-0.71054333,"x","std"
"13",5,"STANDING",4002,"fBodyGyro",-0.30235615,"x","mean"
"14",1,"WALKING",8049,"fBodyAccJerk",-0.37619951,"y","mean"
"15",6,"LAYING",5356,"tBodyGyroJerk",-0.10560006,"x","mean"
"16",3,"WALKING_DOWNSTAIRS",10248,"tBodyAcc",-0.3656883,"z","std"
"17",2,"WALKING_UPSTAIRS",5045,"tBodyAccJerkMag",-0.14148839,"z","mean"
"18",1,"WALKING",5199,"tBodyGyroJerkMag",-0.69243895,"z","mean"
"19",2,"WALKING_UPSTAIRS",10268,"fBodyAcc",-0.25712673,"z","std"
"20",6,"LAYING",591,"tBodyGyro",-0.90397355,"x","std"
"21",5,"STANDING",4206,"tBodyAccJerk",-0.041818293,"z","mean"
"22",1,"WALKING",6565,"fBodyGyro",-0.19764954,"x","mean"
"23",1,"WALKING",5811,"fBodyAccJerk",-0.31715616,"x","mean"
"24",2,"WALKING_UPSTAIRS",323,"tBodyAcc",0.22588802,"x","mean"
"25",1,"WALKING",7269,"fBodyAcc",-0.14732634,"z","std"
"26",2,"WALKING_UPSTAIRS",5459,"tBodyAcc",0.16160986,"x","mean"
"27",3,"WALKING_DOWNSTAIRS",10053,"fBodyAccJerk",-0.26808643,"z","mean"
"28",2,"WALKING_UPSTAIRS",4846,"tBodyAccJerkMag",-0.45017618,"z","std"
"29",1,"WALKING",5188,"fBodyBodyAccJerkMag",0.20696232,"z","mean"
"30",5,"STANDING",6083,"tGravityAcc",-0.99808339,"x","std"
